,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
882,0.3992359851644856,0.3226269779017142,0.3781881843109887,Basel,2023,171886.43017326095
883,0.287844174535406,0.2403199721193539,0.4103344461313233,Bassersdorf,2023,10233.971122166897
884,0.2205225886493856,0.1905888888083039,0.4582442002291138,Bauma,2023,3455.499823585784
885,0.3488658526238389,0.2688735688634619,0.431129287889113,Bellach,2023,3436.2255510797468
886,0.3015812103387765,0.2624846025765694,0.3437590055856024,Bellinzona,2023,36725.19270882903
887,0.3134270612064783,0.2846883634631268,0.4946050823785995,Belmont-Broye,2023,4136.319901616866
888,0.1849467625654079,0.1299393150785324,0.3943959007043774,Belp,2023,9023.797735278597
889,0.234921527997824,0.2014124271182499,0.4543685926991396,Berikon,2023,4239.879160991268
890,0.2619513360890657,0.2310329503738787,0.4894598135257798,Beringen,2023,3479.1716110467646
891,0.2635837121885247,0.1860849461737184,0.4305467568325777,Bern,2023,130263.62783726648
892,0.2541137067717138,0.1887916454016271,0.4613687684015918,Bernex,2023,8538.939757157921
893,0.1714425925849078,0.1439841063817166,0.3704329463064856,Beromünster,2023,5275.233097310122
894,0.2215499161696585,0.179503943120041,0.3899784890105454,Bettlach,2023,3468.6882380376173
895,0.4016728465615251,0.2945849670189736,0.4915191432854367,Bex,2023,6107.6053175586885
896,0.3816238120662097,0.3468741497655286,0.3262115406022433,Biasca,2023,4841.911130599622
897,0.2975615582328834,0.2262791507874898,0.457540967689524,Biberist,2023,6957.438602937718
898,0.350493559217704,0.2474806554910482,0.4068445811296997,Biel/Bienne,2023,50712.56058984282
899,0.3055588031013858,0.2244845172235341,0.4341897549787465,Binningen,2023,13606.80856743077
900,0.2892948554771158,0.2487280315223714,0.4813092315918418,Birmensdorf (ZH),2023,6439.155227651816
901,0.4916604456639123,0.4335301829109077,0.4736846695254643,Birr,2023,3542.468382797654
902,0.3251175566597044,0.2655301468445388,0.3959316718937084,Birsfelden,2023,9122.622085965892
903,0.3022200122655541,0.2760959629630982,0.448275697800487,Bischofszell,2023,4577.56579545654
904,0.2560602378518166,0.208507323932079,0.4885173406193522,Blonay - Saint-Légier,2023,9208.292344183808
905,0.165694574701021,0.1115747649558827,0.4148791590714965,Bolligen,2023,4943.063520575872
906,0.2119544118803126,0.1667900405739705,0.4073958586560412,Bonstetten,2023,5115.725294791328
907,0.3038887597998029,0.2240042889726626,0.4683503936283633,Bottmingen,2023,5771.423890084274
908,0.3121376813609364,0.253393969883894,0.5202840869057425,Boudry,2023,5026.755380881177
909,0.2456873337012614,0.2082153087226494,0.4515309124484742,Bourg-en-Lavaux,2023,4026.0449556203016
910,0.2608001613610932,0.2201765223995011,0.4956163347255211,Bremgarten (AG),2023,7690.3650101047315
911,0.2423298844347789,0.1884752075042229,0.3847806644125036,Brig-Glis,2023,12208.197571823575
912,0.325845446489391,0.2657192721080977,0.4594517184212679,Brugg,2023,10628.03678269143
