,Financials - Number of employees,Financials - Number of workplaces,Number of workplaces,Materials - Number of employees,Materials - Number of workplaces,Consumer Staples - Number of employees,Consumer Staples - Number of workplaces,Communication Services - Number of employees,Communication Services - Number of workplaces,Industrials - Number of employees,Industrials - Number of workplaces,Consumer Discretionary - Number of employees,Consumer Discretionary - Number of workplaces,Energy - Number of employees,Energy - Number of workplaces,Utilities - Number of employees,Utilities - Number of workplaces,Real Estate - Number of employees,Real Estate - Number of workplaces,Information Technology - Number of employees,Information Technology - Number of workplaces,Health Care - Number of employees,Health Care - Number of workplaces,Number of employees,Number of workplaces with <50 employees,Number of workplaces with ≥50 and <250 employees,Number of workplaces with ≥250 employees,name,year
3043,0.013294074687457748,0.017874298782226045,1118.925013152836,0.2497622343158334,0.44085292934299286,0.07729438979018965,0.14954842372685562,0.009528635198940632,0.027544827643459897,0.0300956456807883,0.038942483699089085,0.07574356033455275,0.12958361046197192,0.009902848121751141,0.0036025624268868107,0.0012185217687597945,0.0023482881790545048,0.03246227539960613,0.028598878051561673,0.4208693504100437,0.060822570270627666,0.0798284642920768,0.10028112741527417,3234.5237266169574,0.9322083684239363,0.018102479242454787,0.003574859756445209,Untersiggenthal,2021
3044,0.02794863594197153,0.028000320342067262,2363.3045315939007,0.3371980479139781,0.3924777416526554,0.18674582976331272,0.2059701652484219,0.012632573237367111,0.02200308902421867,0.04781389555577754,0.0330779562707331,0.12690580675957805,0.12462445606178055,0.0,0.0,0.004823346145176533,0.005077635928665847,0.06285747999217296,0.03666851195232815,0.05263257601830226,0.06311204010978165,0.1404418086723631,0.0889880834093471,4353.823957047023,0.9086025532840147,0.008462726547776411,0.0016925453095552822,Unterägeri,2021
3045,0.013614872280703004,0.016157260189053935,2228.100530583083,0.5164634431034996,0.4285964119354584,0.1255226897640346,0.1575025387113794,0.016803074799821172,0.03419314358299821,0.030055550835728893,0.044465061669926344,0.08647025766081605,0.12863568693420688,0.0,0.0,0.004316910723149733,0.005385753396351312,0.0465689132725975,0.036169675918404066,0.100345398944008,0.057667502432389106,0.05983888861564137,0.0912269652298327,9034.238255347695,0.9427089624031371,0.03933852627569201,0.005385753396351312,Urdorf,2021
3046,0.01048741395721444,0.014408928892012698,1102.3440421197351,0.5026917317200272,0.3616270483904034,0.10830418110610454,0.18714158559142707,0.03245298347747358,0.03357461206545917,0.048319729371711306,0.04753825111233764,0.08902256111769302,0.1478622267688459,0.0009346322200073157,0.0036286312141790714,0.0009346322200073157,0.0036286312141790714,0.042273438954803996,0.034399515705772134,0.05492413446486009,0.05252821470355301,0.10965456139009723,0.11366235434183102,4279.758298904665,0.8978151935552148,0.045285409348309345,0.00537046599233956,Urtenen-Schönbühl,2021
3047,0.029075698622872632,0.025167760466018544,7946.674487387925,0.33251724639228664,0.4138110700965424,0.14717732270182654,0.15106157272409276,0.017836544097234366,0.04038312227415646,0.02795811943658077,0.02166157724437904,0.09922948802744659,0.13150404878318306,0.002459385500170433,0.0005039374216836798,0.002025173038409039,0.0020134208372814834,0.09585819048469452,0.03875835111766856,0.08670700948776787,0.04897821667536848,0.1591558222107105,0.12615692235962558,20738.96857376439,0.9473316412256821,0.01960514711867138,0.0025167760466018544,Uster,2021
3048,0.0414153982630142,0.02478066341492939,1614.1617893854104,0.2786487004282,0.36959555259684096,0.141943060093001,0.18849680532551935,0.011798572760974976,0.02725872975642233,0.0714936427107199,0.035880104389036944,0.09987761577995816,0.15723226733269596,0.014206444753010685,0.009912265365971756,0.0,0.0,0.05104688623115704,0.04956132682985878,0.009872275167346407,0.017346464390450574,0.2796974038126176,0.11993582059827368,4153.04469385252,0.929400901268273,0.01737014277292736,0.002478066341492939,Uznach,2021
3049,0.014650613977976169,0.023290149958153997,2404.4499541916484,0.25404256135968417,0.3782548714761287,0.11063028149580219,0.2124615061695038,0.007779087067951948,0.02495373209802214,0.37036660838111524,0.04934492583957117,0.08197668610262947,0.1499816161821311,0.0005186058045301299,0.0016635821398681427,0.005704663849831429,0.008317910699340713,0.06762136956510889,0.04202285197082848,0.017859176644333532,0.019026223904480024,0.06885034575103688,0.09068262956197166,7712.987330760986,0.9178968659052033,0.024992854158723328,0.0016635821398681427,Uzwil,2021
3050,0.020637354310707724,0.02706123900024769,4487.758629799559,0.39105025492238266,0.402361415493139,0.2172726337488278,0.2113829718576082,0.01709658147519734,0.029413346592103963,0.027705300163854217,0.04015723824379318,0.20455775483134858,0.17169604613187545,0.01849222077929508,0.003565254132376238,0.0026749753328540052,0.0026739405992821787,0.05966358025017847,0.04567981857107055,0.014537909417684812,0.025848092459727724,0.026311434767669437,0.040160636918775985,8598.210128338142,0.9130750663996824,0.00896126458550109,0.001782627066188119,Val de Bagnes,2021
3051,0.008731200306065891,0.01318063907264444,4248.655902901124,0.289256212421784,0.37259606859102634,0.15273418356629095,0.22876092976974505,0.011426015215345486,0.024478329706339674,0.09442638319788554,0.052722706466747045,0.08721980031585624,0.13654780275944592,0.0004311703854847353,0.0009414742194746029,0.003125985294764331,0.004707371097373014,0.12719526371799691,0.02636127814528888,0.13851348633697122,0.034834546120560306,0.08694029924155465,0.10486885405135443,9277.074990906609,0.8617535814510299,0.015063587511593646,0.0028244226584238086,Val-de-Ruz,2021
3052,0.007898540938213766,0.009823345108756201,3257.5461460145866,0.25670258049194744,0.3266262248661437,0.19273986225922635,0.2884214386844729,0.014626927663358828,0.025786280910485026,0.02822997039028254,0.039293380435024804,0.09770787679123696,0.1424385040769649,0.00599704034197712,0.0024558362771890502,0.0024865777027710005,0.0049116725543781005,0.057191287163733014,0.023330444633295977,0.22481587818582519,0.042977134850808375,0.11160345807142785,0.09393573760248117,6836.7057184883,0.8361513547681686,0.01719085394032335,0.0024558362771890502,Val-de-Travers,2021
