name,year,100k,1M,200k,500k,50k,>1M
Willisau,2021,6.63079730489418,28.818204149305554,13.283032118055555,22.247203559027778,1.1769169973544973,29.76153471875
Willisau,2022,6.467217476851852,28.32521357638889,12.990566617063493,21.839268836805555,1.151369502314815,29.252687875
Willisau,2023,6.276378902116402,28.430610815972223,12.772249702380954,21.72632213541667,1.0864303075396826,29.41330446875
Willisau,2024,6.1249174603174605,28.399951510416667,12.587389459325397,21.571317447916663,1.045638806216931,29.413142781250002
Windisch,2010,7.595213111772487,31.866224496527778,14.991804712301587,24.057829774305556,1.566518146494709,33.82706026041667
Windisch,2011,7.402905753968254,31.73980737847222,14.481785193452382,23.607230121527778,1.5459617435515873,33.78856528125
Windisch,2012,7.402531729497355,31.733232656249996,14.44476624503968,23.57093081597222,1.5474370659722223,33.788521593750005
Windisch,2013,7.402531729497355,31.733232656249996,14.44476624503968,23.57093081597222,1.5474370659722223,33.788521593750005
Windisch,2014,6.147892476851852,31.216339739583333,13.322740699404761,22.817312413194443,1.1355591931216928,33.34396123958334
Windisch,2015,6.021469857804233,30.943834826388894,13.030605282738096,22.51694314236111,1.1182352017195767,33.085804833333334
Windisch,2016,6.021969857804232,30.945404479166665,13.019397693452383,22.498985069444444,1.1235973048941799,33.094707989583334
Windisch,2017,6.021969857804232,30.945404479166665,13.019397693452383,22.498985069444444,1.1235973048941799,33.094707989583334
Windisch,2018,6.022019923941799,30.94539873263889,13.019387202380953,22.498981944444445,1.1233600777116401,33.094707906249994
Windisch,2019,6.007707126322751,30.93978449652778,12.998643898809524,22.48283923611111,1.120785796957672,33.09457380208333
Windisch,2020,5.942611458333333,30.874712864583337,12.908723859126983,22.39763194444444,1.103263392857143,33.03962882291667
Windisch,2021,5.940006101190477,30.864896371527777,12.904834350198412,22.38871128472222,1.103263392857143,33.03051115625
Windisch,2022,5.642442113095238,30.836975885416667,12.68344595734127,22.271191059027778,0.9590057043650793,33.02986359375
Windisch,2023,5.416972387566138,30.932731458333333,12.389561656746032,22.10977473958333,0.9000445601851851,33.210395625
Windisch,2024,5.26155689484127,30.88637545138889,12.161480530753968,21.9267296875,0.8524923115079365,33.209558
Winterthur,2010,5.834781299603175,34.26292944444444,12.98676277281746,23.5512875,1.276341765873016,36.850866125
Winterthur,2011,5.647513640873016,34.12992661458333,12.480119642857144,23.09111970486111,1.2628546213624339,36.80896940625
Winterthur,2012,5.112357936507936,33.93680496527777,11.863453000992063,22.46454548611111,1.0949754464285715,36.804674500000004
Winterthur,2013,4.903151041666666,33.90260394097223,11.663486532738094,22.333133246527773,1.0741181382275133,36.80389515625
Winterthur,2014,4.903151041666666,33.75822196180556,11.663486532738094,22.316076475694445,1.0741181382275133,36.60350815625
Winterthur,2015,4.903151041666666,33.758046961805555,11.663581175595237,22.316076475694445,1.0741181382275133,36.60350815625
Winterthur,2016,4.944097040343916,33.97287088541667,11.738007316468254,22.43695060763889,1.0834973544973545,36.84910761458333
Winterthur,2017,4.944097040343916,33.97287088541667,11.738007316468254,22.43695060763889,1.0834973544973545,36.84910761458333
Winterthur,2018,4.903678819444444,33.75976185763889,11.65260285218254,22.29705303819444,1.0753730985449734,36.613360937500005
Winterthur,2019,4.906459771825396,33.759609357638894,11.653936185515875,22.296657204861113,1.0753730985449734,36.613360937500005
